tconst,averageRating,runtimeMinutes,genres,directors,actor
tt0349683,6.3,126,"Action,Adventure,Drama",nm0298807,nm0654110
tt0349710,6.5,115,"Action,Drama,Thriller",nm0751221,nm0001618
tt0349825,7.4,135,"Biography,Drama,History",nm0640334,nm0000621
tt0349903,6.5,125,"Crime,Thriller",nm0001752,nm0000123
tt0350028,6.0,119,"Comedy,Drama,Romance",nm0005190,nm0005028
tt0350258,7.7,152,"Biography,Drama,Music",nm0000431,nm0004937
tt0350261,7.0,108,"Drama,Family,Romance",nm0002120,nm0000182
tt0351283,6.9,86,"Adventure,Animation,Comedy","nm0201509,nm0569891",nm0001674
tt0351817,8.1,129,"Drama,Romance",nm0945282,nm0760796
tt0351977,6.2,86,"Action,Crime",nm0106230,nm0425005
tt0352248,8.0,144,"Biography,Drama,Romance",nm0000165,nm0000128
tt0353969,8.1,131,"Crime,Drama,Mystery",nm0094435,nm0814280
tt0354899,7.2,105,"Comedy,Drama,Fantasy",nm0327273,nm0305558
tt0355295,5.9,118,"Action,Adventure,Comedy",nm0000416,nm0000354
tt0355702,7.1,107,"Biography,Drama,Sport",nm0362566,nm0005132
tt0356150,6.6,92,Comedy,"nm0769840,nm0073688,nm0541635",nm1310709
tt0356470,5.9,95,"Comedy,Family,Romance",nm0743093,nm0240381
tt0356618,5.8,91,"Drama,Mystery,Sci-Fi",nm0747849,nm0000194
tt0356634,5.0,80,"Adventure,Animation,Comedy",nm0382072,nm0005227
tt0356680,6.3,103,"Comedy,Drama,Romance",nm0080120,nm0000551
tt0356721,6.6,107,Comedy,nm0751102,nm0005403
tt0356910,6.5,120,"Action,Comedy,Crime",nm0510731,nm0000093
tt0357277,4.7,97,"Action,Adventure,Crime",nm0101385,nm0004950
tt0357413,7.1,94,Comedy,nm0570912,nm0002071
tt0357507,4.2,89,"Drama,Horror,Mystery",nm0443181,nm0005538
tt0358082,6.4,91,"Adventure,Animation,Comedy","nm0917188,nm0757858",nm0000191
tt0358135,6.2,106,"Comedy,Drama,Music",nm0155093,nm0000152
tt0358273,7.8,136,"Biography,Drama,Music",nm0003506,nm0001618
tt0359013,5.8,113,"Action,Horror,Sci-Fi",nm0275286,nm0000648
tt0359950,7.3,114,"Adventure,Comedy,Drama",nm0001774,nm0001774
tt0360009,6.5,106,"Action,Crime,Drama",nm0000519,nm0000174
tt0360139,6.1,101,"Comedy,Romance",nm0128225,nm0601553
tt0360201,6.3,98,"Comedy,Romance,Sport",nm0518644,nm0000379
tt0360486,7.0,121,"Action,Fantasy,Horror",nm1349376,nm0000206
tt0360556,4.9,100,"Drama,Sci-Fi,Thriller",nm1023919,nm0430107
tt0360717,7.2,187,"Action,Adventure,Drama",nm0001392,nm0915208
