tconst,averageRating,numVotes,runtimeMinutes,genres,directors,writers,actor
tt0283509,7.9,47770,98,"Comedy,Drama,War",nm0849786,nm0849786,nm0229301
tt0283832,7.0,33187,111,"Comedy,Crime,Musical",nm0654830,"nm0654830,nm0888418,nm0859436",nm0000272
tt0283900,7.3,41764,122,"Comedy,Drama,Romance",nm0458251,nm0458251,nm0244151
tt0284837,6.2,93149,85,Comedy,nm0617042,"nm0056187,nm0563243",nm0056187
tt0284978,6.7,31573,95,"Mystery,Sci-Fi,Thriller",nm0622112,nm0454521,nm0000562
tt0285462,4.9,31774,94,Comedy,nm0622240,"nm0622240,nm0988951",nm0000421
tt0285492,5.5,68365,94,"Horror,Mystery,Sci-Fi",nm0782900,"nm0393517,nm0053228,nm0572369",nm0558182
tt0285531,5.5,94151,136,"Drama,Horror,Sci-Fi",nm0001410,"nm0000175,nm0001279,nm0001410",nm0000151
tt0285742,7.1,91191,111,"Drama,Romance",nm0286975,"nm0995906,nm0737993",nm0000671
tt0285823,6.3,165051,102,"Action,Crime,Thriller",nm0001675,nm0001675,nm0000104
tt0286106,6.8,370591,106,"Drama,Mystery,Sci-Fi",nm0796117,nm0796117,nm0000154
tt0286112,7.3,83403,113,"Action,Comedy,Fantasy",nm0159507,"nm0159507,nm0874683,nm0298676,nm1385080,nm0359584,nm4932610",nm0159507
tt0286244,7.7,55474,80,"Adventure,Animation,Comedy",nm0158984,nm0158984,nm1379544
tt0286499,6.7,112635,112,"Comedy,Drama,Romance",nm0149446,"nm0149446,nm0996493,nm0074488",nm0619406
tt0286716,5.6,271730,138,"Action,Sci-Fi",nm0000487,"nm0498278,nm0456158,nm0770005,nm0877273,nm0289833",nm0051509
tt0286751,6.5,22516,119,"Horror,Mystery,Sci-Fi",nm0475905,nm0475905,nm0441964
tt0286788,5.8,64258,105,"Comedy,Drama,Family",nm0330140,"nm0392942,nm0081081,nm0151358",nm0004789
tt0287467,7.9,114427,112,"Drama,Mystery,Romance",nm0000264,nm0000264,nm0282936
tt0287717,5.3,69769,100,"Action,Adventure,Comedy",nm0001675,nm0001675,nm0891786
tt0287978,5.3,223203,103,"Action,Crime",nm0425756,nm0425756,nm0000255
tt0288045,5.2,42520,88,"Action,Comedy,Fantasy",nm0150906,"nm0156434,nm1424658,nm0150906,nm0923932,nm0004214",nm0000329
tt0288477,5.5,103933,91,Horror,nm0065284,"nm0360144,nm0688282",nm0000523
tt0289043,7.5,422409,113,"Drama,Horror,Sci-Fi",nm0000965,nm0307497,nm0614165
tt0289765,7.2,279066,124,"Crime,Drama,Thriller",nm0711840,"nm0365383,nm0848217",nm0000164
tt0289848,5.9,87402,96,"Comedy,Crime",nm0000601,"nm0518836,nm0865847,nm13204541,nm0000601",nm0000134
tt0289879,7.6,498383,113,"Drama,Sci-Fi,Thriller","nm0107774,nm0344259","nm0344259,nm0107774",nm0005110
tt0289992,7.5,122622,130,"Crime,Drama,Thriller",nm0000570,nm1017488,nm0000228
tt0290002,6.3,276380,115,"Comedy,Romance",nm0005366,"nm0322839,nm0164898,nm0381272,nm0405190,nm0357453",nm0001774
tt0290095,5.4,85769,98,"Action,Comedy,Sci-Fi",nm1019493,"nm0006534,nm0542062,nm5022110,nm0498775",nm0000329
tt0290334,7.4,557960,134,"Action,Sci-Fi,Thriller",nm0001741,"nm0672015,nm0371684,nm0001741,nm1002424,nm0003529",nm0001772
tt0290673,7.3,139408,97,"Crime,Drama,Mystery",nm0637615,nm0637615,nm0000899
tt0291341,6.4,40443,99,"Comedy,Crime,Drama",nm1032759,"nm0944003,nm0281969,nm1008911,nm1008916",nm0005068
tt0291350,7.8,29371,87,"Animation,Drama,Fantasy",nm0464804,"nm0464804,nm0613444",nm0796153
tt0292490,8.1,73471,183,"Comedy,Drama,Romance",nm1027719,"nm1539594,nm1027719,nm10689808,nm1260845",nm0451148
tt0292506,6.6,138659,115,"Action,Thriller",nm0002044,"nm0870013,nm0934483,nm0322248",nm0000199
tt0292644,6.6,52240,110,"Comedy,Drama,Romance",nm0000812,"nm0254735,nm0000812",nm0004735
tt0292963,7.3,106536,117,"Crime,Drama,Thriller",nm0001486,nm1031176,nm0000450
tt0293007,7.5,20497,145,"Crime,Drama",nm0002199,"nm0002199,nm0093799,nm0623057,nm1176799",nm0246570
tt0293429,6.0,178821,110,"Action,Adventure,Fantasy",nm2585406,"nm3859643,nm1709264,nm3349927,nm0095460,nm0864880",nm1167985
tt0293508,7.2,125717,143,"Drama,Musical,Romance",nm0001708,"nm0503693,nm0515908,nm0001708",nm0124930
tt0293564,6.2,173532,91,"Action,Comedy,Crime",nm0711840,"nm0622288,nm0482780",nm0000329
tt0293662,6.8,309070,92,"Action,Crime,Thriller","nm0504642,nm0477035","nm0000108,nm0436543",nm0005458
tt0293715,8.0,49062,137,"Comedy,Drama,Romance",nm1030706,"nm1030519,nm1030706",nm1028580
tt0293815,5.8,28786,85,"Comedy,Drama",nm1048560,"nm0001084,nm0690770",nm0001084
tt0294357,6.4,28641,127,"Adventure,Drama,Romance",nm0132709,nm1047021,nm0654110
tt0294870,6.8,54383,135,"Drama,Musical,Romance",nm0001060,"nm1170227,nm0154716",nm0004875
